methodA,methodB,isGolden,modelProbability,answerValue,answerer,image,crop,base_url,comparison_id
ours_gan_med,ours_lpips_low,0,0,A,4waj7CIlxGSkntyi60OEIstKdy53,25bf4453f783b8649e24ecc4c8cf124c.png,"[377, 184, 768, 768]",https://storage.googleapis.com/hific/clic2020/visualize.html?perPage=10&imgs=,-M8I0QbHJFRYSy3U-xPR
bpg_med_3_v2,ours_gan_med,0,0,A,4waj7CIlxGSkntyi60OEIstKdy53,25bf4453f783b8649e24ecc4c8cf124c.png,"[377, 184, 768, 768]",https://storage.googleapis.com/hific/clic2020/visualize.html?perPage=10&imgs=,-M8I0WXnhJVljvNyFy2z
minnen_mse_med,ours_gan_med,0,0,A,4waj7CIlxGSkntyi60OEIstKdy53,25bf4453f783b8649e24ecc4c8cf124c.png,"[377, 184, 768, 768]",https://storage.googleapis.com/hific/clic2020/visualize.html?perPage=10&imgs=,-M8I0cclmy57WHjIjQeg
bpg_med_3_v2,minnen_mse_med,0,0,A,4waj7CIlxGSkntyi60OEIstKdy53,25bf4453f783b8649e24ecc4c8cf124c.png,"[377, 184, 768, 768]",https://storage.googleapis.com/hific/clic2020/visualize.html?perPage=10&imgs=,-M8I0tNkrgNqpyOYn40w
minnen_mse_med,ours_gan_high,0,0,A,4waj7CIlxGSkntyi60OEIstKdy53,25bf4453f783b8649e24ecc4c8cf124c.png,"[377, 184, 768, 768]",https://storage.googleapis.com/hific/clic2020/visualize.html?perPage=10&imgs=,-M8I0zBPxTn5VCZDH3nV
ours_gan_high,ours_gan_med,0,0,A,4waj7CIlxGSkntyi60OEIstKdy53,25bf4453f783b8649e24ecc4c8cf124c.png,"[377, 184, 768, 768]",https://storage.googleapis.com/hific/clic2020/visualize.html?perPage=10&imgs=,-M8I163ZEVQ5PnrmmBRe
bpg_med_2_v2,ours_gan_high,0,0,A,4waj7CIlxGSkntyi60OEIstKdy53,25bf4453f783b8649e24ecc4c8cf124c.png,"[377, 184, 768, 768]",https://storage.googleapis.com/hific/clic2020/visualize.html?perPage=10&imgs=,-M8I1FGxUHo4-hbCvRqJ
bpg_med_2_v2,bpg_med_3_v2,0,0,A,4waj7CIlxGSkntyi60OEIstKdy53,25bf4453f783b8649e24ecc4c8cf124c.png,"[377, 184, 768, 768]",https://storage.googleapis.com/hific/clic2020/visualize.html?perPage=10&imgs=,-M8I1dSIrWQ67HKMXtgv
minnen_mse_med,ours_gan_low,0,0,A,4waj7CIlxGSkntyi60OEIstKdy53,25bf4453f783b8649e24ecc4c8cf124c.png,"[377, 184, 768, 768]",https://storage.googleapis.com/hific/clic2020/visualize.html?perPage=10&imgs=,-M8I1imP-y7EX6W9doKb
ours_gan_low,ours_gan_med,0,0,B,4waj7CIlxGSkntyi60OEIstKdy53,25bf4453f783b8649e24ecc4c8cf124c.png,"[377, 184, 768, 768]",https://storage.googleapis.com/hific/clic2020/visualize.html?perPage=10&imgs=,-M8I1mMcgOIVf9-IgHxs
